Sample.ID,Depth,Temperature,DO,Salinity,Secchi.Disk,SED.Depth,SAV,,Site.Class,Strata,ID,Year,Season,System,Lake
2-4-2-T2,1,28.1,108.4,28.5,0.9,0.9,80,,Seasonal,Offshore,2016 Wet 2-4-2-T2,2016,Wet,McCormick,Terrapin Bay
2-4-2-T3,0.9,27.9,120.8,28.8,0.9,1,100,,Seasonal,Offshore,2016 Wet 2-4-2-T3,2016,Wet,McCormick,Terrapin Bay
1-1-1-12,0.7,28.4,45.4,16.4,0.4,0.9,95,,Seasonal,Inshore,2017 Dry 1-1-1-12,2017,Dry,Alligator,West Lake
1-1-1-18,0.9,28.6,64.3,17.3,0.4,0.9,20,,Seasonal,Inshore,2017 Dry 1-1-1-18,2017,Dry,Alligator,West Lake
1-1-1-6,0.7,31,118.5,20.6,0.4,0.4,60,,Seasonal,Inshore,2017 Dry 1-1-1-6,2017,Dry,Alligator,West Lake
1-1-2-21,1.4,28.4,102.2,19.4,0.5,0.5,75,,Seasonal,Offshore,2017 Dry 1-1-2-21,2017,Dry,Alligator,West Lake
1-1-2-T1,0.8,32.2,198.3,16,0.5,0.8,95,,Seasonal,Offshore,2017 Dry 1-1-2-T1,2017,Dry,Alligator,West Lake
1-1-2-T2,1.1,31,110.1,20.5,0.3,0.3,10,,Seasonal,Offshore,2017 Dry 1-1-2-T2,2017,Dry,Alligator,West Lake
1-2-1-12,0.5,32.4,119.6,16,0.3,1,0,,Seasonal,Inshore,2017 Dry 1-2-1-12,2017,Dry,Alligator,Cuthbert Lake
1-2-1-17,0.8,30.6,111,16,0.2,0.5,0,,Seasonal,Inshore,2017 Dry 1-2-1-17,2017,Dry,Alligator,Cuthbert Lake
1-2-1-8,0.5,29.4,88.1,16.2,0.2,0.6,0,,Seasonal,Inshore,2017 Dry 1-2-1-8,2017,Dry,Alligator,Cuthbert Lake
1-2-2-2,1.2,30.6,139.5,16,0.3,0.2,0,,Seasonal,Offshore,2017 Dry 1-2-2-2,2017,Dry,Alligator,Cuthbert Lake
1-2-2-26,0.8,28.2,101,15.8,0.2,0.4,0,,Seasonal,Offshore,2017 Dry 1-2-2-26,2017,Dry,Alligator,Cuthbert Lake
1-3-1-1,0.5,28.7,22.9,45.9,0.5,0.25,0,,Seasonal,Inshore,2017 Dry 1-3-1-1,2017,Dry,Alligator,Long Lake
1-3-1-12,0.6,34.2,101.7,44.2,0.6,0.9,0,,Seasonal,Inshore,2017 Dry 1-3-1-12,2017,Dry,Alligator,Long Lake
1-3-1-20,0.5,31.3,72.7,42.8,0.5,0.9,0,,Seasonal,Inshore,2017 Dry 1-3-1-20,2017,Dry,Alligator,Long Lake
1-3-2-T1,1.1,30.3,68.6,40.7,0.8,0.4,5,,Seasonal,Offshore,2017 Dry 1-3-2-T1,2017,Dry,Alligator,Long Lake
1-3-2-T2,0.9,32.4,115.1,43.1,0.5,0.4,0,,Seasonal,Offshore,2017 Dry 1-3-2-T2,2017,Dry,Alligator,Long Lake
1-3-2-T3,0.8,31.5,136.5,45.8,0.8,0.8,90,,Seasonal,Offshore,2017 Dry 1-3-2-T3,2017,Dry,Alligator,Long Lake
1-4-1-2,0.5,33.5,121.6,47.6,0.5,1.2,5,,Seasonal,Inshore,2017 Dry 1-4-1-2,2017,Dry,Alligator,The Lungs
1-4-1-5,0.5,31.5,84.8,47.7,0.5,1.1,0,,Seasonal,Inshore,2017 Dry 1-4-1-5,2017,Dry,Alligator,The Lungs
